transaction_id,timestamp,year,quarter,customer_id,employee_id,office_id,team_id,product_id,call_duration_minutes,completion_time_seconds,is_transferred,transfer_reason,linked_accounts_count,fraud_risk_flag
1,2020-01-01 12:32:36,2020,1,75,36,1,1,3,5,327,0,None,1,0
2,2020-01-01 18:26:48,2020,1,2344,146,3,6,4,30,1841,0,None,1,0
3,2020-01-01 16:08:31,2020,1,3012,222,5,6,5,9,564,0,None,1,0
4,2020-01-01 15:20:50,2020,1,1402,24,1,1,3,12,730,0,None,1,0
5,2020-01-01 10:10:32,2020,1,3991,142,3,1,5,11,688,0,None,1,0
6,2020-01-01 18:51:14,2020,1,4256,207,5,2,2,49,2951,0,None,1,0
7,2020-01-01 12:04:02,2020,1,703,154,4,7,6,30,1817,0,None,1,0
8,2020-01-01 16:32:49,2020,1,2589,131,3,5,1,27,1641,0,None,3,0
9,2020-01-01 10:44:14,2020,1,4226,246,5,1,3,9,530,0,None,1,0
10,2020-01-01 18:29:35,2020,1,1499,250,5,2,6,20,1186,1,None,2,0
11,2020-01-01 10:03:18,2020,1,2651,207,5,2,5,12,755,0,None,1,0
12,2020-01-01 15:25:18,2020,1,4972,51,2,8,6,23,1404,0,None,3,0
13,2020-01-01 10:19:15,2020,1,3839,40,1,4,5,37,2219,1,Billing Dispute,1,0
14,2020-01-01 13:44:09,2020,1,2676,35,1,1,3,19,1151,0,None,1,0
15,2020-01-01 15:32:06,2020,1,2155,184,4,8,6,8,514,0,None,1,0
16,2020-01-01 11:13:18,2020,1,1093,229,5,3,2,15,926,0,None,1,0
17,2020-01-01 18:41:04,2020,1,4162,162,4,2,4,20,1187,0,None,1,0
18,2020-01-01 09:02:45,2020,1,2485,13,1,4,6,46,2776,0,None,2,0
19,2020-01-01 08:16:45,2020,1,2796,228,5,6,6,24,1444,0,None,1,0
20,2020-01-01 11:35:34,2020,1,3541,101,3,5,2,16,958,0,None,1,0
21,2020-01-01 08:19:09,2020,1,2991,120,3,7,3,26,1589,0,None,1,0
22,2020-01-01 12:14:04,2020,1,3282,192,4,7,3,17,1052,1,Fraud Verification,1,0
23,2020-01-01 11:44:28,2020,1,3157,107,3,5,2,23,1413,0,None,1,0
24,2020-01-01 12:02:53,2020,1,3100,186,4,4,2,22,1320,0,None,3,0
25,2020-01-01 17:51:02,2020,1,2325,79,2,6,4,49,2925,0,None,1,0
26,2020-01-01 12:24:36,2020,1,1733,113,3,6,2,8,488,1,Billing Dispute,1,0
27,2020-01-01 17:36:23,2020,1,95,249,5,7,4,18,1083,1,Billing Dispute,1,1
28,2020-01-01 16:47:47,2020,1,214,137,3,7,1,12,738,0,None,1,0
29,2020-01-01 11:39:45,2020,1,4079,233,5,2,3,21,1295,0,None,1,0
30,2020-01-01 14:06:29,2020,1,2561,31,1,2,6,42,2556,0,None,1,0
31,2020-01-01 09:59:40,2020,1,3358,11,1,1,2,18,1098,0,None,1,0
32,2020-01-01 12:31:24,2020,1,457,143,3,5,2,17,1033,0,None,1,0
33,2020-01-01 17:21:41,2020,1,2992,34,1,4,3,5,317,0,None,2,0
34,2020-01-01 08:03:00,2020,1,4186,31,1,2,6,6,398,0,None,1,0
35,2020-01-01 17:51:13,2020,1,367,181,4,8,3,16,984,1,Billing Dispute,1,0
36,2020-01-01 14:08:44,2020,1,1231,238,5,7,6,17,1026,0,None,1,0
37,2020-01-01 10:00:52,2020,1,1137,92,2,8,1,25,1497,0,None,5,0
38,2020-01-01 17:49:03,2020,1,1258,231,5,7,1,14,836,1,Billing Dispute,1,0
39,2020-01-01 14:51:00,2020,1,2419,123,3,8,5,42,2539,0,None,1,0
40,2020-01-01 12:08:07,2020,1,1708,165,4,6,3,8,517,1,None,1,0
41,2020-01-01 11:12:14,2020,1,2045,196,4,1,4,26,1568,0,None,1,0
42,2020-01-01 08:11:00,2020,1,3372,196,4,1,4,13,785,0,None,1,0
43,2020-01-01 09:57:22,2020,1,1833,66,2,2,1,26,1564,0,None,1,0
44,2020-01-01 16:12:59,2020,1,615,31,1,2,6,11,667,0,None,2,0
45,2020-01-01 10:18:04,2020,1,1401,126,3,7,6,13,798,0,None,1,0
46,2020-01-01 14:33:17,2020,1,462,22,1,2,6,8,506,0,None,1,0
47,2020-01-01 14:27:59,2020,1,3341,26,1,1,2,6,389,0,None,3,0
48,2020-01-01 16:26:54,2020,1,4682,108,3,1,3,7,421,0,None,1,0
49,2020-01-01 17:57:28,2020,1,4460,231,5,7,6,5,291,0,None,1,0
50,2020-01-01 14:04:30,2020,1,1463,147,3,4,2,19,1169,0,None,5,0
51,2020-01-01 17:56:34,2020,1,594,197,4,3,1,13,796,0,None,1,0
52,2020-01-01 10:28:26,2020,1,234,133,3,3,3,46,2788,0,None,2,1
53,2020-01-01 09:29:17,2020,1,672,176,4,4,5,8,474,1,None,1,0
54,2020-01-01 08:09:25,2020,1,1510,157,4,6,4,15,937,0,None,1,0
55,2020-01-01 08:55:55,2020,1,1100,208,5,2,3,14,874,0,None,1,0
56,2020-01-01 18:45:38,2020,1,3682,66,2,2,4,17,1036,0,None,1,0
57,2020-01-01 16:47:12,2020,1,3172,200,4,7,1,14,835,0,None,2,0
58,2020-01-01 10:52:16,2020,1,3072,129,3,1,4,27,1651,0,None,1,0
59,2020-01-01 09:28:07,2020,1,4287,183,4,8,5,39,2376,0,None,1,0
60,2020-01-01 11:53:33,2020,1,807,106,3,2,4,5,293,0,None,1,0
61,2020-01-01 18:24:28,2020,1,1646,103,3,1,2,40,2398,1,Technical Escalation,1,0
62,2020-01-01 11:31:07,2020,1,2956,14,1,5,3,27,1636,0,None,10,0
63,2020-01-01 13:34:42,2020,1,4447,12,1,3,1,25,1517,0,None,1,0
64,2020-01-01 18:52:19,2020,1,939,67,2,1,3,20,1201,0,None,1,0
65,2020-01-01 10:04:56,2020,1,1500,17,1,2,5,30,1795,0,None,2,0
66,2020-01-01 09:45:12,2020,1,2630,165,4,6,5,24,1442,0,None,2,0
67,2020-01-01 09:04:44,2020,1,1568,235,5,1,5,9,575,0,None,1,0
68,2020-01-01 08:43:14,2020,1,354,157,4,6,6,19,1158,0,None,1,0
69,2020-01-01 14:39:50,2020,1,972,130,3,2,6,11,698,0,None,1,0
70,2020-01-01 13:35:37,2020,1,3566,167,4,1,1,12,748,0,None,2,0
71,2020-01-01 15:25:11,2020,1,4863,113,3,6,3,28,1670,0,None,1,0
72,2020-01-01 15:25:42,2020,1,3265,165,4,6,1,5,297,0,None,2,0
73,2020-01-01 09:35:17,2020,1,2189,171,4,5,2,23,1369,0,None,1,0
74,2020-01-01 15:59:08,2020,1,198,211,5,3,6,10,629,0,None,1,0
75,2020-01-01 11:07:27,2020,1,1519,34,1,4,4,17,1065,0,None,1,0
76,2020-01-01 12:47:23,2020,1,277,104,3,5,3,8,483,0,None,2,0
77,2020-01-01 14:00:45,2020,1,2017,72,2,4,2,65,3889,1,Fraud Verification,1,0
78,2020-01-01 08:45:23,2020,1,3807,34,1,4,5,26,1589,0,None,1,0
79,2020-01-01 14:24:07,2020,1,4770,204,5,8,4,16,1004,1,Billing Dispute,2,0
80,2020-01-01 18:30:19,2020,1,2588,44,1,2,3,19,1146,0,None,2,0
81,2020-01-01 14:21:19,2020,1,3566,224,5,7,1,10,611,0,None,1,0
82,2020-01-01 10:47:46,2020,1,2993,234,5,4,3,24,1457,1,Technical Escalation,1,0
83,2020-01-01 14:17:09,2020,1,461,165,4,6,4,11,671,0,None,25,0
84,2020-01-01 09:58:36,2020,1,2255,62,2,5,4,9,543,0,None,3,0
85,2020-01-01 10:27:03,2020,1,1780,28,1,7,6,10,621,0,None,1,0
86,2020-01-01 17:13:38,2020,1,2677,136,3,7,2,14,852,0,None,1,0
87,2020-01-01 08:52:01,2020,1,3255,182,4,6,1,19,1167,1,Fraud Verification,2,0
88,2020-01-01 12:53:25,2020,1,1107,168,4,2,5,22,1348,0,None,1,0
89,2020-01-01 13:31:13,2020,1,4453,189,4,5,2,57,3460,1,Billing Dispute,1,0
90,2020-01-01 10:09:40,2020,1,1438,149,3,7,6,19,1126,0,None,5,0
91,2020-01-01 17:22:52,2020,1,1828,222,5,6,3,10,643,0,None,1,0
92,2020-01-01 15:12:40,2020,1,1146,220,5,2,6,10,596,0,None,1,1
93,2020-01-01 12:10:03,2020,1,3773,143,3,5,5,25,1533,1,None,1,0
94,2020-01-01 12:20:35,2020,1,2622,47,1,8,1,10,643,0,None,1,0
95,2020-01-01 10:52:29,2020,1,3237,135,3,8,2,10,639,0,None,1,0
96,2020-01-01 13:06:15,2020,1,4374,161,4,8,6,5,333,1,Billing Dispute,1,0
97,2020-01-01 13:58:34,2020,1,2221,6,1,7,4,10,636,0,None,1,0
98,2020-01-01 08:25:42,2020,1,42,172,4,1,3,34,2033,0,None,1,0
99,2020-01-01 08:27:57,2020,1,784,7,1,6,2,19,1170,0,None,1,0
100,2020-01-01 17:45:10,2020,1,4611,87,2,6,4,16,993,0,None,1,0
101,2020-01-01 10:42:15,2020,1,3692,250,5,2,1,12,736,0,None,2,0
102,2020-01-01 12:33:11,2020,1,3944,136,3,7,6,21,1278,0,None,1,0
103,2020-01-01 13:23:03,2020,1,4140,240,5,1,6,44,2637,0,None,3,0
104,2020-01-01 10:51:34,2020,1,296,154,4,7,6,5,315,0,None,3,0
105,2020-01-01 18:06:00,2020,1,1368,226,5,4,5,13,785,0,None,3,0
106,2020-01-01 11:39:31,2020,1,4142,21,1,7,4,21,1270,0,None,1,0
107,2020-01-01 08:23:08,2020,1,4249,173,4,6,4,9,566,0,None,1,0
108,2020-01-01 13:56:53,2020,1,1920,199,4,2,2,16,973,0,None,5,1
109,2020-01-01 10:50:31,2020,1,3567,189,4,5,4,12,715,1,Fraud Verification,5,0
110,2020-01-01 14:15:21,2020,1,4766,146,3,6,2,17,1022,0,None,1,0
111,2020-01-01 08:09:17,2020,1,3020,176,4,4,5,29,1737,0,None,1,0
112,2020-01-01 12:28:07,2020,1,2783,76,2,1,4,6,363,0,None,1,0
